timestamp,lat,lon,altitude,satellites,hdop,fix_type,vehicle_direction_deg,speed_kmh,soc_percent,battery_voltage_v,battery_current_a,battery_energy_wh,motor_temp_c,motor_rpm,motor_current_rms_a,odometer_km,spray_pump_status,field_mode,travel_mode,gear_low,gear_high,drive_forward,drive_reverse,controller_temp_c,controller_voltage_v,controller_current_a,hyd_motor_temp_c,hyd_controller_temp_c,dc_voltage_v,net_current_a,slaves
10:14:45,16.031899659333334,80.3526676265,10.1095,25,0.6,GPS Fix (SPS),174.80317302637343,2.0,71,54,-17.6,15326,106.5,1256,76.5,174,0,0,1,0,1,1,0,52.400000000000006,52.11,30.700000000000003,36,49,519,0,1
10:14:46,16.031902694833335,80.352662419,10.3402,25,0.6,GPS Fix (SPS),182.6529835781314,1.7000000000000002,71,54,-23.400000000000002,15325,106.5,1413,28.8,174,0,0,1,0,1,1,0,52.400000000000006,52.050000000000004,47.800000000000004,36,49,519,152,1
10:14:47,16.031902694833335,80.352662419,10.3402,25,0.6,GPS Fix (SPS),188.18332239091978,1.6,71,54,-6.300000000000001,15325,106.4,1073,93.80000000000001,174,0,0,1,0,1,1,0,52.400000000000006,52.28,8.0,36,49,518,100,1
10:14:48,16.031910018333335,80.35265881966667,9.9572,25,0.6,GPS Fix (SPS),193.8229746892016,2.0,71,54,-23.200000000000003,15325,106.5,1347,63.1,174,0,0,1,0,1,1,0,52.400000000000006,52.050000000000004,30.0,36,49,517,77,1
10:14:49,16.031913776333333,80.35265817183334,9.8388,25,0.6,GPS Fix (SPS),206.87364899043405,2.3000000000000003,71,54,-28.0,15325,106.4,1469,90.30000000000001,174,0,0,1,0,1,1,0,52.400000000000006,52.01,51.2,36,49,518,72,1
10:14:50,16.031913776333333,80.35265817183334,9.8388,25,0.6,GPS Fix (SPS),218.84722163425113,2.6,71,54,-23.900000000000002,15324,106.4,1728,70.5,174,0,0,1,0,1,1,0,52.400000000000006,52.03,29.3,36,49,517,75,1
10:14:51,16.031926857166667,80.352658055,9.3294,26,0.6,GPS Fix (SPS),225.88403026392245,2.7,71,54,-25.900000000000002,15324,106.4,1812,66.10000000000001,174,0,0,1,0,1,1,0,52.5,51.99,44.300000000000004,36,49,518,87,1
10:14:52,16.031933488,80.35265767366667,9.4632,26,0.6,GPS Fix (SPS),236.97809901039864,2.9000000000000004,71,54,-26.900000000000002,15323,106.4,1965,69.3,174,0,0,0,0,0,0,0,52.5,52.050000000000004,31.400000000000002,36,49,518,117,1
10:14:53,16.031944080833334,80.35266114966667,9.4953,26,0.6,GPS Fix (SPS),233.36562981825034,3.3000000000000003,71,54,-24.700000000000003,15323,106.4,2139,51.300000000000004,174,0,0,1,0,1,1,0,52.5,52.09,22.3,36,49,518,60,1
10:14:54,16.031944080833334,80.35266114966667,9.4953,26,0.6,GPS Fix (SPS),235.73488043106443,3.5,71,54,-27.200000000000003,15323,106.4,2260,67.3,174,0,0,1,0,1,1,0,52.5,52.07,32.4,36,49,516,90,1
10:14:55,16.0319584135,80.35266198033334,10.0401,26,0.6,GPS Fix (SPS),240.51424277916487,3.7,71,54,-26.5,15322,106.4,2411,58.7,174,0,0,1,0,1,1,0,52.5,51.95,46.300000000000004,36,49,517,60,1
10:14:56,16.0319584135,80.35266198033334,10.0401,26,0.6,GPS Fix (SPS),242.47842046376826,4.0,71,54,-28.3,15322,106.30000000000001,2541,63.6,174,0,0,1,0,1,1,0,52.5,51.93,58.2,36,49,517,12,1
10:14:57,16.031978635,80.35266941616666,9.9179,26,0.6,GPS Fix (SPS),247.24671324591594,4.3,71,54,-31.3,15321,106.4,2714,62.900000000000006,174,0,0,1,0,1,1,0,52.5,51.78,52.300000000000004,36,49,516,75,1
10:14:58,16.031978635,80.35266941616666,9.9179,26,0.6,GPS Fix (SPS),247.6881908028492,4.4,71,54,-30.5,15321,106.4,2897,65.7,174,0,0,1,0,1,1,0,52.5,51.99,42.300000000000004,36,49,516,62,1
